"47","She ______ already ______ that film
","D","is, seeing
","has been, seeing
","have, seen
","has, seen
","tenses"
"48","Have you ______ been to Bali?
","A","ever","always","every week
","often
","tenses"
"49","A  : Where is my dictionary? It was on my desk<br><br>B  : Perhaps somebody ______ it.
","B","take","has taken","have taken","has been taken","tenses"
"50","My friend said, `I have never seen such a good film`<br><br>From the above statement we may conclude that:","C","I ever seen
","I ever see
","I've ever seen
","ever I see
","tenses"
"51","I ______Â chocolate since I was a child. You might even call me a `chocoholic.`
","B","love","have loved
","am loving
","have been loving
","tenses"
"52","I ______ English for two years now
","A","have been studying
","are studying
","study","have studied
","tenses"
"53","We ______ the problem for several hours
","D","discuss
","have discussed
","are discussing
","have been discussing
","tenses"
"54","Matt and Sarah ______Â some difficulties in their relationship lately, so they have been goingÂ to a marriage counselor. I hope they work everything out.
","B","have","have been having
","are having
","have had
","tenses"
"55","______  Mr. Herpinus _______ in this Institute for 12 years?
","C","is, teaching
","has, taught
","has, been teaching
","have, been teaching
","tenses"
"56","Usually, I _____Â as a secretary at ABT, but this summer I ______Â French at a language school in Paris. That is why I am in Paris.Â 
","C","am working,  am studying
","work, study
","work,  am studying
","am working, study
","tenses"
"57","Judy      : How long ______Â in Canada?<br><br>Claude : I ______Â here for more than three years.
","D","have you been, have studied
","have you been being, have studied
","have you been being, have been studying
","have you been, have been studying
","tenses"
"58","Frank    :Â What are you going to be doing tomorrow at five?Â <br><br>Debbie :Â I _______Â my living room walls.Â 
","D","am going to painting
","am going to have painted
","am going to have been painting
","am going to be painting
","tenses"
"59","I am sick of rain and bad weather! Hopefully, when we wake up tomorrow morning, the sun _______
","A","will be shining
","will shine","will have shined
","will have been shining
","tenses"
"60","When I entered the bazaar, a couple of merchants were busily bargainingÂ and tryingÂ to sell their goods to naive tourists who were huntingÂ for souvenirs. I ______ over to a man who ______Â fruit and ______Â a banana.Â 
","C","walked,Â sold,Â bought
","was walking,Â was selling,Â was buying
","walked,Â was selling,Â bought
","have been walking,Â was selling,Â bought
","tenses"
"61","John _______Â for the government since he graduated from Harvard University. Until recently, he _______Â his work, but now he is talking about retiring.
","B","has worked,  has enjoyed
","has worked,  has been enjoying
","has been working,  has enjoyed
","has been working,  has been enjoying
","tenses"
"62","Jasmin   : What do you think about Rina's birthday party?<br><br>Rommy : ________. <br><br>Jasmin   : Oh really? Thank you
","D","Thank you very much
","It was nothing. I enjoyed helping you
","Thanks for your support
","It's amazing, especially the food served there.
","expression"
"63","Yoyo : _______. I have been waiting for you for so long, Where have you been?<br><br>Mike : I'm sorry. I didn't mean to do that.
","C","I like this thing
","I am very pleased
","I hate this very much
","Thanks for waiting me
","expression"
"64","Dany   : Hi, it's nice party, right?<br><br>Dony  :Yes, I think so.<br><br>Dany  : Do you like the menu served?<br><br>Dony  : _______<br><br>Which expression is not suitable to Dony statement?
","D","How marvelous
","It's splendid
","It's delicious
","I don't care","expression"
"65","Bobby : I'm sorry for being late because of oversleeping, Mam<br><br>Teacher : _______. <br><br>Bobby : Okay, Mam. I will be better next time
","B","You had better sleep soundly
","You should go earlier tomorrow
","You must get a punishment
","You ought to stay at home
","expression"
"66","Rico  :  I heard that you were sick yesterday. Are you all right now?<br><br>Mia    : I'm healthy now.<br><br>Rico  :  _______
","C","It sounds terrible
","I'm sad to hear that
","I'm pleased to hear that.
","How awful
","expression"
"67","look over there"," "," "," "," "," ","speaking"
"68","be patient please"," "," "," "," "," ","speaking"
"69","could you lower it"," "," "," "," "," ","speaking"
"70","what a relief"," "," "," "," "," ","speaking"
"71","I agree with you"," "," "," "," "," ","speaking"
"72","that's good idea"," "," "," "," "," ","speaking"
"73","where have you been"," "," "," "," "," ","speaking"
"74","I love the sport"," "," "," "," "," ","speaking"
"75","you look really great"," "," "," "," "," ","speaking"
"76","I hate living here"," "," "," "," "," ","speaking"
"77","old fashioned"," "," "," "," "," ","speaking"
"78","stands to reason"," "," "," "," "," ","speaking"
"79","don't give up"," "," "," "," "," ","speaking"
"80","a bag of tricks"," "," "," "," "," ","speaking"
"81","what can I do for you"," "," "," "," "," ","speaking"
"82","Kathy told me you had been late several times in the past and that she would not make plans with you again in the future. She mentioned that she _____ several movies because of your late arrivals. I think you owe her an apology. And in the future, I suggest you be on time!
","D","missed
","was missing
","had been missing
","had missed
","tenses"
"83","If you need to contact me sometime next week, I ______ at the Sheraton in San Francisco
","B","will stay
","will be staying
","will have stayed
","will have been staying
","tenses"
"84","Sandra  :Â Where is Tim going to meet us?Â <br><br>Marcus :Â He ______Â for us when our train arrives. I am sure he ______Â on the platform when we pull into the station.Â 
","D","will wait, will stand
","will have been waiting, will have been standing
","will have waited, will have stood
","will be waiting, will be standing
","tenses"
"85","When I entered the bazaar, some young boys _______ their donkeys through the narrow streets on their way home. A couple of men ______Â over the price of a leather belt. 
","A","were leading, were arguing
","have been leading, were arguing
","were leading, have been arguing
","have been leading, have been arguing
","tenses"
"86","Last night, while I was doing my homework, Angela called. She said she _______Â me on her cell phone from her biology classroom at UCLA
","B","called
","was calling
","had called
","had been calling
","tenses"
"87","Last night, while I was doing my homework, Angela called. She said she was callingÂ me on her cell phone from her biology classroom at UCLA. I asked her if she _______Â for class, but she said that the professor was at the front of the hall lecturing while she ______Â to me. I couldn't believe she ______ a phone call during the lecture
","C","waited,Â  talked,Â made
","had waited,Â had talked,Â had made
","was waiting,Â was talking,Â was making
","had been waiting,Â had been talking,Â had been making
","tenses"
"88","Bob     :  Excuse me. Can you tell me how to get to the bank from here?<br><br>Linda :   Certainly. ___________. Go along the street for about two hundred meters. The bank is on your right next the restaurant. <br><br>Bob :   Thanks. <br><br>Linda :   No problem
","Go straight on and then turn right
","r32.mp3"," "," "," ","listening"
"89","A : Are you enjoying your lunch?<br><br>B : Yes. It's fine<br><br>A : Is it better than Thai food? <br><br>B : No, I don't think so<br><br>A : Why not? <br><br>B : Because Thai food has more taste<br><br>A : Is all Thai food spicy? <br><br>B : No, not all Thai food is spicy. But it's all delicious. <br><br>A : What is your favorite Thai food? <br><br>B : My favorite dish is Tom Yum Gung<br><br>A : What is that? <br><br>B : ___________. What's your favorite English dishes? <br><br>A : My favorite dishes is sausages and mashed potatoes
","It's a spicy prawn soup
","r33.mp3"," "," "," ","listening"
"90","Jack  : Hey Tom. How are you feeling now?<br><br>Tom  : I feel ok now Jack. Much better<br><br>Jack  : How did surgery go?<br><br>Tom  : Well, I am alive! It was scary but _________ fast <br><br>Jack  : Do you know when you can start going to school  again?<br><br>Tom  : Maybe after a couple of a weeks. My doc advised me to avoid public places for a while<br><br>Jack  : That's great. Hope to see you soon. We all miss you man.
","The doctor said I am going to recover
","r34.mp3"," "," "," ","listening"
"91","Chris  : Hello, Jane. How are you?<br><br>Jane  : Chris, nice to see you. I'm fine. And you? <br><br>Chris  : I couldn't be better<br><br>Jane  : I'm glad to hear that. What are you doing here? <br><br>Chris  : __________<br><br>Jane  : I don't see your wife. Where is she now? <br><br>Chris  : She went to get something to eat. She'll be back soon<br><br>Jane  : Great. I can't wait say hello to her<br><br>Chris  : I'm sure my wife will be happy to see you too
","I came for a walk with my wife","r35.mp3"," "," "," ","listening"
"92","A  : Hi<br><br>B  : Hello<br><br>A  : What's up? <br><br>B  : Nothing much. I'm just waiting for the bus<br><br>A  : Have you been waiting for the bus for a long time?<br><br>B  : I've been waiting for about forty minutes<br><br>A  : Fourty minutes is a long time to wait for the bus. Maybe you should wait over there<br><br>B  : Why should I wait over there? <br><br>A  : Because the bus stop is over there. It's the post box
","I've been waiting for about forty minutes
","r36.mp3"," "," "," ","listening"
"93","Terry   : Hello<br><br>Chris   : This is Chris. Is Terry there? <br><br>Terry   : Hi, Chris. This is Terry. How's life? <br><br>Chris   : Life is great. But I _________<br><br>Terry   : Yes. It has been a long time since we've seen each other. I'm so glad you called<br><br>Chris   : All is well with you? <br><br>Terry   : Everything is great. Listen, I've got the amazing story to tell you<br><br>Chris   : Really? ... Oh, My battery is dead
","Have not seen you in a long time
","r37.mp3"," "," "," ","listening"
"94","A  : Table for one, please<br><br>B  : Follow me, Sir<br><br>A  : _________? <br><br>B  : Here it is, Sir<br><br>A  : What do you recommend? <br><br>B  : The grilled chicken with tomato sauce. It's a good choice<br><br>A  : It sounds like a good idea<br><br>B  : I'll have the chicken, and a glass of wine please<br><br>A  : Sure. I'll be right back with your order
","Can I have the menu
","r38.mp3"," "," "," ","listening"
"95","A   :  Excuse me <br><br>B   : Yes, what can I do for you?<br><br>A   : I'd like to return this radio<br><br>B   : What's the problem?<br><br>A   : The volume doesn't work <br><br>B   : Do you have the receipt?<br><br>A   : Yes <br><br>B   : ______________?<br><br>A   : No. Can I have refund?<br><br>B   : Sure. Let's go to the cashier to get your money<br><br>A   : Thank You
","Would you like to exchange this with a new one
","r39.mp3"," "," "," ","listening"
"96","Nadia           : Excuse me, Mr. Black. Could you lend me your pen?<br><br>Mr. Black   : No. _________. I'm using it<br><br>Nadia           : All right. Thank you anyway
","I'm afraid I can't
","r40.mp3"," "," "," ","listening"
"97","Nico   : Hello <br><br>Nola   : Hi, this is Nola. Can I speak to Linda?<br><br>Nico   : Hold on, please. Sorry, _________. Can I take a message?<br><br>Nola   : Yes, please. Could you ask her to call me back? It's Nola<br><br>Nico   : Okay, call Nola. Does she have your number?<br><br>Nola   : It's 08122764950 <br><br>Nico   : So that's 08122764950<br><br>Nola   : Yes, thanks very  much. Bye<br><br>Nico   : You're welcome, bye
","She isn't here at the moment
","r41.mp3"," "," "," ","listening"
"98","Me      : Mom. ________?<br><br>Mom  : Honey. I've made you some pancakes and bacon<br><br>Me      : Okay, cool. Have you fried the bacon or roasted it? <br><br>Mom  : I roasted it<br><br>Me      : Oh! I'm so tired of eating roasted bacon. Can you fry it today please? <br><br>Mom  : No, fried bacon is not healthy<br><br>Me      : Who cares about health? I love fried bacon<br><br>Mom  : I'll fry it next time, alright?
","What's for breakfast today
","r42.mp3"," "," "," ","listening"
"99","A   : Do you have any siblings?<br><br>B   : Yes. I have a younger brother. What about you? <br><br>A   : I have a quite a big family with 2 brothers and 2 sisters<br><br>B   : Wow, a big family. ________<br><br>A   : Yes, they're my sisters and they are very nice. They're kind and smart and i feel lucky to be their brother<br><br>B   : What a nice thing to say!
","I'd have liked a sister too
","r43.mp3"," "," "," ","listening"
"100","A   :   I'm feeling hungry<br><br>B   : Can we have lunch now? <br><br>A   : What do you feel like eating? <br><br>B   : Some English food<br><br>A   : _________ English food? <br><br>B   : No, this is my first time<br><br>A   : Where shall we go to eat?
","Have you ever eaten
","r44.mp3"," "," "," ","listening"
